baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,relationship,baseline_family_gene_count,alternative_family_gene_count,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one
GCF_000005845.2,b3792,wzxE,GCF_003697165.2,one_to_one,1,1,OG0002649,EAS44_RS24610,wzxE,False
GCF_000005845.2,b4481,wecF,GCF_003697165.2,one_to_one,1,1,OG0003058,EAS44_RS24605,rffT,True
GCF_000005845.2,b3793,wzyE,GCF_003697165.2,one_to_one,1,1,OG0002650,EAS44_RS24600,wzyE,False
GCF_000005845.2,b3794,rffM,GCF_003697165.2,one_to_one,1,1,OG0002651,EAS44_RS24595,wecG,True
GCF_000005845.2,b3795,thrP,GCF_003697165.2,one_to_one,1,1,OG0003059,EAS44_RS24590,thrP,False
GCF_000005845.2,b3796,argX,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3797,hisR,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3798,leuT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3799,proM,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3800,aslB,GCF_003697165.2,one_to_one,1,1,OG0003060,EAS44_RS24565,aslB,False
GCF_000005845.2,b3801,aslA,GCF_003697165.2,one_to_one,1,1,OG0002652,EAS44_RS24560,aslA,False
GCF_000005845.2,b4456,glmZ,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3802,hemY,GCF_003697165.2,one_to_one,1,1,OG0002653,EAS44_RS24555,hemY,False
GCF_000005845.2,b3803,hemX,GCF_003697165.2,one_to_one,1,1,OG0002654,EAS44_RS24550,hemX,False
GCF_000005845.2,b3804,hemD,GCF_003697165.2,one_to_one,1,1,OG0002655,EAS44_RS24545,hemD,False
GCF_000005845.2,b3805,hemC,GCF_003697165.2,one_to_one,1,1,OG0003061,EAS44_RS24540,hemC,False
GCF_000005845.2,b3806,cyaA,GCF_003697165.2,one_to_one,1,1,OG0002656,EAS44_RS24535,cyaA,False
GCF_000005845.2,b3807,cyaY,GCF_003697165.2,one_to_one,1,1,OG0002657,EAS44_RS24530,cyaY,False
GCF_000005845.2,b3808,yzcX,GCF_003697165.2,no_ortholog,1,0,OG0006039,,,False
GCF_000005845.2,b4558,lptM,GCF_003697165.2,one_to_one,1,1,OG0003100,EAS44_RS24515,lptM,False
GCF_000005845.2,b3809,dapF,GCF_003697165.2,one_to_one,1,1,OG0002658,EAS44_RS24510,dapF,False
GCF_000005845.2,b3810,yigA,GCF_003697165.2,one_to_one,1,1,OG0002659,EAS44_RS24505,yigA,False
GCF_000005845.2,b3811,xerC,GCF_003697165.2,one_to_many,1,2,OG0000329,EAS44_RS09860;EAS44_RS24500,EAS44_RS09860;xerC,False
GCF_000005845.2,b3812,yigB,GCF_003697165.2,one_to_one,1,1,OG0002660,EAS44_RS24495,yigB,False
GCF_000005845.2,b3813,uvrD,GCF_003697165.2,no_ortholog,1,0,OG0004369,,,False
GCF_000005845.2,b4482,yigE,GCF_003697165.2,one_to_one,1,1,OG0003062,EAS44_RS24480,yigE,False
GCF_000005845.2,b4799,ysgD,GCF_003697165.2,one_to_one,1,1,OG0003004,EAS44_RS25435,ysgD,False
GCF_000005845.2,b3816,corA,GCF_003697165.2,one_to_one,1,1,OG0002661,EAS44_RS24475,corA,False
GCF_000005845.2,b3817,yigF,GCF_003697165.2,no_ortholog,1,0,OG0003682,,,False
GCF_000005845.2,b3818,yigG,GCF_003697165.2,no_ortholog,1,0,OG0003683,,,False
GCF_000005845.2,b3819,rarD,GCF_003697165.2,one_to_one,1,1,OG0003063,EAS44_RS24460,rarD,False
GCF_000005845.2,b3820,yigI,GCF_003697165.2,one_to_one,1,1,OG0002662,EAS44_RS24455,yigI,False
GCF_000005845.2,b3821,pldA,GCF_003697165.2,one_to_one,1,1,OG0002663,EAS44_RS24450,pldA,False
GCF_000005845.2,b3822,recQ,GCF_003697165.2,one_to_one,1,1,OG0000174,EAS44_RS24445,recQ,False
GCF_000005845.2,b3823,rhtC,GCF_003697165.2,one_to_one,1,1,OG0003460,EAS44_RS24440,rhtC,False
GCF_000005845.2,b3824,rhtB,GCF_003697165.2,one_to_one,1,1,OG0003064,EAS44_RS24435,rhtB,False
GCF_000005845.2,b3825,pldB,GCF_003697165.2,one_to_one,1,1,OG0003065,EAS44_RS24430,pldB,False
GCF_000005845.2,b3826,yigL,GCF_003697165.2,one_to_one,1,1,OG0003066,EAS44_RS24425,yigL,False
GCF_000005845.2,b3827,bioP,GCF_003697165.2,one_to_one,1,1,OG0002664,EAS44_RS24420,bioP,False
GCF_000005845.2,b3828,metR,GCF_003697165.2,one_to_one,1,1,OG0002665,EAS44_RS24415,metR,False
GCF_000005845.2,b3829,metE,GCF_003697165.2,one_to_one,1,1,OG0002666,EAS44_RS24410,metE,False
GCF_000005845.2,b3830,ysgA,GCF_003697165.2,one_to_one,1,1,OG0003067,EAS44_RS24325,ysgA,False
GCF_000005845.2,b3831,udp,GCF_003697165.2,one_to_one,1,1,OG0002667,EAS44_RS24320,udp,False
GCF_000005845.2,b3832,rmuC,GCF_003697165.2,one_to_one,1,1,OG0002668,EAS44_RS24285,rmuC,False
GCF_000005845.2,b3833,ubiE,GCF_003697165.2,one_to_one,1,1,OG0003068,EAS44_RS24280,ubiE,False
GCF_000005845.2,b3834,ubiJ,GCF_003697165.2,one_to_one,1,1,OG0002669,EAS44_RS24275,ubiJ,False
GCF_000005845.2,b4707,esrE,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3835,ubiB,GCF_003697165.2,one_to_one,1,1,OG0002670,EAS44_RS24270,ubiB,False
GCF_000005845.2,b3836,tatA,GCF_003697165.2,one_to_one,1,1,OG0000440,EAS44_RS24265,tatA,False
GCF_000005845.2,b3838,tatB,GCF_003697165.2,one_to_one,1,1,OG0003069,EAS44_RS24260,tatB,False
GCF_000005845.2,b3839,tatC,GCF_003697165.2,one_to_one,1,1,OG0002671,EAS44_RS24255,tatC,False
GCF_000005845.2,b4483,tatD,GCF_003697165.2,one_to_one,1,1,OG0003070,EAS44_RS24250,tatD,False
GCF_000005845.2,b3842,rfaH,GCF_003697165.2,one_to_one,1,1,OG0002672,EAS44_RS24245,rfaH,False
GCF_000005845.2,b3843,ubiD,GCF_003697165.2,one_to_one,1,1,OG0002673,EAS44_RS24240,ubiD,False
GCF_000005845.2,b3844,fre,GCF_003697165.2,one_to_one,1,1,OG0002674,EAS44_RS24235,fre,False
GCF_000005845.2,b3845,fadA,GCF_003697165.2,one_to_one,1,1,OG0000206,EAS44_RS24230,fadA,False
GCF_000005845.2,b3846,fadB,GCF_003697165.2,one_to_one,1,1,OG0002675,EAS44_RS24225,fadB,False
GCF_000005845.2,b3847,pepQ,GCF_003697165.2,one_to_one,1,1,OG0002676,EAS44_RS24220,pepQ,False
GCF_000005845.2,b3848,yigZ,GCF_003697165.2,one_to_one,1,1,OG0002677,EAS44_RS24215,yigZ,False
GCF_000005845.2,b3849,trkH,GCF_003697165.2,one_to_one,1,1,OG0003071,EAS44_RS24210,trkH,False
GCF_000005845.2,b3850,hemG,GCF_003697165.2,one_to_one,1,1,OG0002678,EAS44_RS24205,hemG,False
GCF_000005845.2,b3851,rrsA,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3852,ileT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3853,alaT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3854,rrlA,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3855,rrfA,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3856,mobB,GCF_003697165.2,one_to_one,1,1,OG0002679,EAS44_RS24175,mobB,False
GCF_000005845.2,b3857,mobA,GCF_003697165.2,one_to_one,1,1,OG0002680,EAS44_RS24170,mobA,False
GCF_000005845.2,b3858,yihD,GCF_003697165.2,one_to_one,1,1,OG0002681,EAS44_RS24165,yihD,False
GCF_000005845.2,b3859,srkA,GCF_003697165.2,one_to_one,1,1,OG0002682,EAS44_RS24160,srkA,False
GCF_000005845.2,b3860,dsbA,GCF_003697165.2,one_to_one,1,1,OG0000028,EAS44_RS24155,dsbA,False
GCF_000005845.2,b3861,yihF,GCF_003697165.2,one_to_one,1,1,OG0000467,EAS44_RS24150,yihF,False
GCF_000005845.2,b3862,yihG,GCF_003697165.2,one_to_one,1,1,OG0002683,EAS44_RS24145,yihG,False
GCF_000005845.2,b3863,polA,GCF_003697165.2,one_to_one,1,1,OG0002684,EAS44_RS24135,polA,False
GCF_000005845.2,b3864,spf,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4837,spfP,GCF_003697165.2,no_ortholog,1,0,OG0003713,,,False
GCF_000005845.2,b3865,yihA,GCF_003697165.2,one_to_one,1,1,OG0002685,EAS44_RS24130,yihA,False
GCF_000005845.2,b4457,csrC,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3866,yihI,GCF_003697165.2,one_to_one,1,1,OG0002686,EAS44_RS24125,yihI,False
GCF_000005845.2,b3867,hemN,GCF_003697165.2,one_to_one,1,1,OG0002687,EAS44_RS24120,hemN,False
GCF_000005845.2,b4686,yshB,GCF_003697165.2,one_to_one,1,1,OG0002981,EAS44_RS24115,yshB,False
GCF_000005845.2,b3868,glnG,GCF_003697165.2,one_to_one,1,1,OG0002688,EAS44_RS24110,glnG,False
GCF_000005845.2,b3869,glnL,GCF_003697165.2,one_to_one,1,1,OG0002689,EAS44_RS24105,glnL,False
GCF_000005845.2,b4836,glnZ,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3870,glnA,GCF_003697165.2,one_to_one,1,1,OG0002690,EAS44_RS24100,glnA,False
GCF_000005845.2,b3871,bipA,GCF_003697165.2,one_to_one,1,1,OG0003072,EAS44_RS24095,typA,True
GCF_000005845.2,b3872,yihL,GCF_003697165.2,no_ortholog,1,0,OG0004463,,,False
GCF_000005845.2,b3873,yihM,GCF_003697165.2,no_ortholog,1,0,OG0004464,,,False
GCF_000005845.2,b3874,yihN,GCF_003697165.2,no_ortholog,1,0,OG0004465,,,False
GCF_000005845.2,b3875,ompL,GCF_003697165.2,no_ortholog,1,0,OG0004466,,,False
GCF_000005845.2,b3876,yihO,GCF_003697165.2,no_ortholog,1,0,OG0000007,,,False
GCF_000005845.2,b3877,yihP,GCF_003697165.2,no_ortholog,1,0,OG0000007,,,False
GCF_000005845.2,b3878,yihQ,GCF_003697165.2,no_ortholog,1,0,OG0004467,,,False
GCF_000005845.2,b3879,yihR,GCF_003697165.2,no_ortholog,1,0,OG0004468,,,False
GCF_000005845.2,b3880,yihS,GCF_003697165.2,no_ortholog,1,0,OG0004469,,,False
GCF_000005845.2,b3881,yihT,GCF_003697165.2,one_to_one,1,1,OG0003394,EAS44_RS24075,EAS44_RS24075,True
GCF_000005845.2,b3882,yihU,GCF_003697165.2,one_to_one,1,1,OG0003395,EAS44_RS24080,yihU,False
GCF_000005845.2,b3883,yihV,GCF_003697165.2,one_to_one,1,1,OG0002691,EAS44_RS24085,EAS44_RS24085,True
GCF_000005845.2,b3884,csqR,GCF_003697165.2,one_to_one,1,1,OG0000072,EAS44_RS24090,EAS44_RS24090,True
GCF_000005845.2,b3885,yihX,GCF_003697165.2,one_to_one,1,1,OG0002692,EAS44_RS24050,yihX,False
GCF_000005845.2,b3886,yihY,GCF_003697165.2,one_to_one,1,1,OG0002693,EAS44_RS24045,yihY,False
GCF_000005845.2,b3887,dtd,GCF_003697165.2,one_to_one,1,1,OG0002694,EAS44_RS24040,dtd,False
GCF_000005845.2,b3888,fabY,GCF_003697165.2,one_to_one,1,1,OG0002695,EAS44_RS24035,fabY,False
GCF_000005845.2,b3889,yiiE,GCF_003697165.2,one_to_one,1,1,OG0003396,EAS44_RS24000,yiiE,False
GCF_000005845.2,b3890,yiiF,GCF_003697165.2,no_ortholog,1,0,OG0004470,,,False
GCF_000005845.2,b3891,fdhE,GCF_003697165.2,one_to_one,1,1,OG0002696,EAS44_RS23995,fdhE,False
GCF_000005845.2,b3892,fdoI,GCF_003697165.2,one_to_one,1,1,OG0002697,EAS44_RS23990,fdoI,False
GCF_000005845.2,b3893,fdoH,GCF_003697165.2,one_to_one,1,1,OG0000465,EAS44_RS23985,fdoH,False
GCF_000005845.2,b3894,fdoG,GCF_003697165.2,one_to_one,1,1,OG0000463,EAS44_RS23980,fdnG,True
GCF_000005845.2,b3895,fdhD,GCF_003697165.2,one_to_one,1,1,OG0002698,EAS44_RS23970,fdhD,False
GCF_000005845.2,b3896,yiiG,GCF_003697165.2,no_ortholog,1,0,OG0004003,,,False
GCF_000005845.2,b3897,frvR,GCF_003697165.2,no_ortholog,1,0,OG0004471,,,False
GCF_000005845.2,b3898,frvX,GCF_003697165.2,no_ortholog,1,0,OG0004004,,,False
GCF_000005845.2,b3899,frvB,GCF_003697165.2,no_ortholog,1,0,OG0004005,,,False
GCF_000005845.2,b3900,frvA,GCF_003697165.2,one_to_one,1,1,OG0003397,EAS44_RS01035,EAS44_RS01035,True
GCF_000005845.2,b3901,rhaM,GCF_003697165.2,one_to_one,1,1,OG0002699,EAS44_RS23955,rhaM,False
GCF_000005845.2,b3902,rhaD,GCF_003697165.2,one_to_one,1,1,OG0002700,EAS44_RS23950,rhaD,False
GCF_000005845.2,b3903,rhaA,GCF_003697165.2,one_to_one,1,1,OG0003073,EAS44_RS23945,rhaA,False
GCF_000005845.2,b3904,rhaB,GCF_003697165.2,one_to_one,1,1,OG0002701,EAS44_RS23940,rhaB,False
GCF_000005845.2,b3905,rhaS,GCF_003697165.2,one_to_one,1,1,OG0002702,EAS44_RS23935,rhaS,False
GCF_000005845.2,b3906,rhaR,GCF_003697165.2,one_to_one,1,1,OG0002703,EAS44_RS23930,rhaR,False
GCF_000005845.2,b3907,rhaT,GCF_003697165.2,one_to_one,1,1,OG0002704,EAS44_RS23925,rhaT,False
GCF_000005845.2,b3908,sodA,GCF_003697165.2,one_to_one,1,1,OG0002705,EAS44_RS23920,sodA,False
GCF_000005845.2,b3909,kdgT,GCF_003697165.2,one_to_one,1,1,OG0003398,EAS44_RS23915,kdgT,False
GCF_000005845.2,b3910,yiiM,GCF_003697165.2,one_to_one,1,1,OG0002706,EAS44_RS23910,yiiM,False
GCF_000005845.2,b3911,cpxA,GCF_003697165.2,one_to_one,1,1,OG0002707,EAS44_RS23905,cpxA,False
GCF_000005845.2,b3912,cpxR,GCF_003697165.2,one_to_one,1,1,OG0002708,EAS44_RS23900,cpxR,False
GCF_000005845.2,b4484,cpxP,GCF_003697165.2,one_to_one,1,1,OG0003074,EAS44_RS23895,cpxP,False
GCF_000005845.2,b4716,cpxQ,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3915,fieF,GCF_003697165.2,one_to_one,1,1,OG0002709,EAS44_RS23890,fieF,False
GCF_000005845.2,b3916,pfkA,GCF_003697165.2,one_to_one,1,1,OG0002710,EAS44_RS23885,pfkA,False
GCF_000005845.2,b3917,sbp,GCF_003697165.2,one_to_one,1,1,OG0002711,EAS44_RS23880,sbp,False
GCF_000005845.2,b3918,cdh,GCF_003697165.2,one_to_one,1,1,OG0002712,EAS44_RS23875,cdh,False
GCF_000005845.2,b3919,tpiA,GCF_003697165.2,one_to_one,1,1,OG0000330,EAS44_RS23870,tpiA,False
GCF_000005845.2,b3920,yiiQ,GCF_003697165.2,one_to_one,1,1,OG0002713,EAS44_RS23865,yiiQ,False
GCF_000005845.2,b3921,yiiR,GCF_003697165.2,one_to_one,1,1,OG0002714,EAS44_RS23860,yiiR,False
GCF_000005845.2,b3922,yiiS,GCF_003697165.2,one_to_one,1,1,OG0002715,EAS44_RS23855,yiiS,False
GCF_000005845.2,b3923,uspD,GCF_003697165.2,one_to_one,1,1,OG0002716,EAS44_RS23850,uspD,False
GCF_000005845.2,b3924,fpr,GCF_003697165.2,one_to_one,1,1,OG0002717,EAS44_RS23845,fpr,False
GCF_000005845.2,b3925,glpX,GCF_003697165.2,one_to_one,1,1,OG0000518,EAS44_RS23840,glpX,False
GCF_000005845.2,b3926,glpK,GCF_003697165.2,one_to_one,1,1,OG0000331,EAS44_RS23835,glpK,False
GCF_000005845.2,b3927,glpF,GCF_003697165.2,one_to_one,1,1,OG0003851,EAS44_RS23830,glpF,False
GCF_000005845.2,b3928,zapB,GCF_003697165.2,one_to_one,1,1,OG0002718,EAS44_RS23825,zapB,False
GCF_000005845.2,b3929,rraA,GCF_003697165.2,one_to_one,1,1,OG0002719,EAS44_RS23820,rraA,False
GCF_000005845.2,b3930,menA,GCF_003697165.2,one_to_one,1,1,OG0002720,EAS44_RS23815,menA,False
GCF_000005845.2,b3931,hslU,GCF_003697165.2,one_to_one,1,1,OG0002721,EAS44_RS23810,hslU,False
GCF_000005845.2,b3932,hslV,GCF_003697165.2,one_to_one,1,1,OG0002722,EAS44_RS23805,hslV,False
GCF_000005845.2,b3933,ftsN,GCF_003697165.2,one_to_one,1,1,OG0002723,EAS44_RS23800,ftsN,False
GCF_000005845.2,b3934,cytR,GCF_003697165.2,one_to_one,1,1,OG0002724,EAS44_RS23795,cytR,False
GCF_000005845.2,b3935,priA,GCF_003697165.2,one_to_one,1,1,OG0002725,EAS44_RS23790,priA,False
GCF_000005845.2,b3936,rpmE,GCF_003697165.2,one_to_one,1,1,OG0002726,EAS44_RS23785,rpmE,False
GCF_000005845.2,b3937,yiiX,GCF_003697165.2,one_to_one,1,1,OG0002727,EAS44_RS23780,yiiX,False
GCF_000005845.2,b3938,metJ,GCF_003697165.2,one_to_one,1,1,OG0002728,EAS44_RS23775,metJ,False
GCF_000005845.2,b3939,metB,GCF_003697165.2,one_to_one,1,1,OG0000332,EAS44_RS23770,metB,False
GCF_000005845.2,b3940,metL,GCF_003697165.2,one_to_one,1,1,OG0002729,EAS44_RS23765,metL,False
GCF_000005845.2,b3941,metF,GCF_003697165.2,one_to_one,1,1,OG0002730,EAS44_RS23735,metF,False
GCF_000005845.2,b3942,katG,GCF_003697165.2,one_to_one,1,1,OG0002731,EAS44_RS23730,katG,False
GCF_000005845.2,b3943,yijE,GCF_003697165.2,one_to_one,1,1,OG0002732,EAS44_RS23725,yijE,False
GCF_000005845.2,b3944,yijF,GCF_003697165.2,one_to_one,1,1,OG0002733,EAS44_RS23720,yijF,False
GCF_000005845.2,b3945,gldA,GCF_003697165.2,one_to_one,1,1,OG0002734,EAS44_RS23715,gldA,False
GCF_000005845.2,b3946,fsaB,GCF_003697165.2,one_to_one,1,1,OG0000454,EAS44_RS23710,fsa,True
GCF_000005845.2,b3947,ptsA,GCF_003697165.2,one_to_one,1,1,OG0003075,EAS44_RS23705,ptsP,True
GCF_000005845.2,b3949,frwC,GCF_003697165.2,one_to_one,1,1,OG0002735,EAS44_RS23700,frwC,False
GCF_000005845.2,b3950,frwB,GCF_003697165.2,one_to_one,1,1,OG0002736,EAS44_RS23695,frwB,False
GCF_000005845.2,b3951,pflD,GCF_003697165.2,one_to_one,1,1,OG0000540,EAS44_RS23690,pflD,False
GCF_000005845.2,b3952,pflC,GCF_003697165.2,one_to_one,1,1,OG0000333,EAS44_RS23685,pflC,False
GCF_000005845.2,b3953,frwD,GCF_003697165.2,one_to_one,1,1,OG0002737,EAS44_RS23680,frwD,False
GCF_000005845.2,b3954,yijO,GCF_003697165.2,one_to_one,1,1,OG0003150,EAS44_RS23675,yijO,False
GCF_000005845.2,b3955,eptC,GCF_003697165.2,one_to_one,1,1,OG0002738,EAS44_RS23670,eptC,False
GCF_000005845.2,b3956,ppc,GCF_003697165.2,one_to_one,1,1,OG0002739,EAS44_RS23665,ppc,False
GCF_000005845.2,b3957,argE,GCF_003697165.2,one_to_one,1,1,OG0000334,EAS44_RS23660,argE,False
GCF_000005845.2,b3958,argC,GCF_003697165.2,one_to_one,1,1,OG0002740,EAS44_RS23655,argC,False
GCF_000005845.2,b3959,argB,GCF_003697165.2,one_to_one,1,1,OG0002741,EAS44_RS23650,argB,False
GCF_000005845.2,b3960,argH,GCF_003697165.2,one_to_one,1,1,OG0000335,EAS44_RS23645,argH,False
GCF_000005845.2,b4458,oxyS,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3961,oxyR,GCF_003697165.2,one_to_one,1,1,OG0002742,EAS44_RS23625,oxyR,False
GCF_000005845.2,b3962,sthA,GCF_003697165.2,one_to_one,1,1,OG0002743,EAS44_RS23620,sthA,False
GCF_000005845.2,b3963,fabR,GCF_003697165.2,one_to_one,1,1,OG0002744,EAS44_RS23605,fabR,False
GCF_000005845.2,b3964,yijD,GCF_003697165.2,one_to_one,1,1,OG0002745,EAS44_RS23600,yijD,False
GCF_000005845.2,b3965,trmA,GCF_003697165.2,one_to_one,1,1,OG0002746,EAS44_RS23595,trmA,False
GCF_000005845.2,b3966,btuB,GCF_003697165.2,one_to_one,1,1,OG0002747,EAS44_RS23590,btuB,False
GCF_000005845.2,b3967,murI,GCF_003697165.2,one_to_one,1,1,OG0002748,EAS44_RS23585,murI,False
GCF_000005845.2,b3968,rrsB,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3969,gltT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3970,rrlB,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3971,rrfB,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3972,murB,GCF_003697165.2,one_to_one,1,1,OG0002749,EAS44_RS23560,murB,False
GCF_000005845.2,b3973,birA,GCF_003697165.2,one_to_one,1,1,OG0002750,EAS44_RS23555,birA,False
GCF_000005845.2,b3974,coaA,GCF_003697165.2,one_to_one,1,1,OG0002751,EAS44_RS23550,coaA,False
GCF_000005845.2,b3976,thrU,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3977,tyrU,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3978,glyT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3979,thrT,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3980,tufB,GCF_003697165.2,one_to_one,1,1,OG0000204,EAS44_RS23525,tuf,True
GCF_000005845.2,b3981,secE,GCF_003697165.2,one_to_one,1,1,OG0002752,EAS44_RS23520,secE,False
GCF_000005845.2,b3982,nusG,GCF_003697165.2,one_to_one,1,1,OG0002753,EAS44_RS23515,nusG,False
GCF_000005845.2,b3983,rplK,GCF_003697165.2,one_to_one,1,1,OG0002754,EAS44_RS23510,rplK,False
GCF_000005845.2,b3984,rplA,GCF_003697165.2,one_to_one,1,1,OG0002755,EAS44_RS23505,rplA,False
GCF_000005845.2,b3985,rplJ,GCF_003697165.2,one_to_one,1,1,OG0002756,EAS44_RS23500,rplJ,False
GCF_000005845.2,b3986,rplL,GCF_003697165.2,one_to_one,1,1,OG0002757,EAS44_RS23495,rplL,False
GCF_000005845.2,b3987,rpoB,GCF_003697165.2,one_to_one,1,1,OG0002758,EAS44_RS23490,rpoB,False
GCF_000005845.2,b3988,rpoC,GCF_003697165.2,one_to_one,1,1,OG0002759,EAS44_RS23485,rpoC,False
GCF_000005845.2,b3989,yjaZ,GCF_003697165.2,no_ortholog,1,0,OG0005293,,,False
GCF_000005845.2,b4691,sroH,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b3990,thiH,GCF_003697165.2,one_to_one,1,1,OG0002760,EAS44_RS23480,thiH,False
GCF_000005845.2,b3991,thiG,GCF_003697165.2,one_to_one,1,1,OG0002761,EAS44_RS23475,thiG,False
GCF_000005845.2,b4407,thiS,GCF_003697165.2,one_to_one,1,1,OG0003076,EAS44_RS23470,thiS,False
GCF_000005845.2,b3992,thiF,GCF_003697165.2,one_to_one,1,1,OG0002762,EAS44_RS23465,thiF,False
GCF_000005845.2,b3993,thiE,GCF_003697165.2,one_to_one,1,1,OG0002763,EAS44_RS23460,thiE,False
GCF_000005845.2,b3994,thiC,GCF_003697165.2,one_to_one,1,1,OG0002764,EAS44_RS23455,thiC,False
GCF_000005845.2,b3995,rsd,GCF_003697165.2,one_to_one,1,1,OG0002765,EAS44_RS23450,rsd,False
GCF_000005845.2,b3996,nudC,GCF_003697165.2,one_to_one,1,1,OG0003077,EAS44_RS23445,nudC,False
GCF_000005845.2,b3997,hemE,GCF_003697165.2,one_to_one,1,1,OG0002766,EAS44_RS23440,hemE,False
GCF_000005845.2,b3998,nfi,GCF_003697165.2,one_to_one,1,1,OG0002767,EAS44_RS23435,nfi,False
GCF_000005845.2,b3999,yjaG,GCF_003697165.2,one_to_one,1,1,OG0002768,EAS44_RS23430,yjaG,False
GCF_000005845.2,b4000,hupA,GCF_003697165.2,one_to_one,1,1,OG0000431,EAS44_RS23425,hupA,False
GCF_000005845.2,b4001,yjaH,GCF_003697165.2,one_to_one,1,1,OG0002769,EAS44_RS23420,yjaH,False
GCF_000005845.2,b4002,zraP,GCF_003697165.2,one_to_one,1,1,OG0002770,EAS44_RS23415,zraP,False
GCF_000005845.2,b4003,zraS,GCF_003697165.2,one_to_one,1,1,OG0000336,EAS44_RS23410,zraS,False
GCF_000005845.2,b4004,zraR,GCF_003697165.2,one_to_one,1,1,OG0002771,EAS44_RS23405,zraR,False
GCF_000005845.2,b4005,purD,GCF_003697165.2,one_to_one,1,1,OG0002772,EAS44_RS23400,purD,False
GCF_000005845.2,b4006,purH,GCF_003697165.2,one_to_one,1,1,OG0002773,EAS44_RS23395,purH,False
GCF_000005845.2,b4007,rrsE,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4008,gltV,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4009,rrlE,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4010,rrfE,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4011,yjaA,GCF_003697165.2,one_to_one,1,1,OG0004006,EAS44_RS23370,yjaA,False
GCF_000005845.2,b4012,yjaB,GCF_003697165.2,one_to_one,1,1,OG0003399,EAS44_RS23365,yjaB,False
GCF_000005845.2,b4013,metA,GCF_003697165.2,one_to_one,1,1,OG0002774,EAS44_RS23360,metA,False
GCF_000005845.2,b4014,aceB,GCF_003697165.2,one_to_one,1,1,OG0002775,EAS44_RS23355,aceB,False
GCF_000005845.2,b4015,aceA,GCF_003697165.2,one_to_one,1,1,OG0002776,EAS44_RS23350,aceA,False
GCF_000005845.2,b4016,aceK,GCF_003697165.2,one_to_one,1,1,OG0002777,EAS44_RS23345,aceK,False
GCF_000005845.2,b4830,aceK-int,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4017,arpA,GCF_003697165.2,no_ortholog,1,0,OG0003684,,,False
GCF_000005845.2,b4018,iclR,GCF_003697165.2,one_to_one,1,1,OG0002778,EAS44_RS23340,iclR,False
GCF_000005845.2,b4019,metH,GCF_003697165.2,many_to_one,2,1,OG0000221,EAS44_RS23335,metH,False
GCF_000005845.2,b4020,yjbB,GCF_003697165.2,one_to_one,1,1,OG0002779,EAS44_RS23320,yjbB,False
GCF_000005845.2,b4021,pepE,GCF_003697165.2,one_to_one,1,1,OG0003400,EAS44_RS23315,pepE,False
GCF_000005845.2,b4022,rluF,GCF_003697165.2,one_to_one,1,1,OG0002780,EAS44_RS23275,rluF,False
GCF_000005845.2,b4023,yjbD,GCF_003697165.2,one_to_one,1,1,OG0000337,EAS44_RS23270,yjbD,False
GCF_000005845.2,b4024,lysC,GCF_003697165.2,one_to_one,1,1,OG0002781,EAS44_RS23265,lysC,False
GCF_000005845.2,b4025,pgi,GCF_003697165.2,one_to_one,1,1,OG0002782,EAS44_RS23255,pgi,False
